 298  32.9
 402  24.2
 506  18.7
 610  15.0
 715  12.5
 819  10.7
 923   9.4
1027   8.5
1131   7.9
1235   7.4
1340   7.0
1444   6.7
1548   6.5
1652   6.4
1756   6.2
1860   6.2
1965   6.1
2069   6.0
2173   6.0
2277   6.0
2327   2.5
2400   2.5
