 298  3984
 402  3975
 506  3966
 610  3957
 715  3947
 819  3936
 923  3926
1027  3915
1131  3903
1235  3892
1340  3880
1444  3868
1548  3855
1652  3843
1756  3830
1860  3818
1965  3805
2069  3792
2173  3779
2277  3766
2327  2900
2400  2900
